Reaction_Time,Condition,Satisfaction_Level
0.6,Treatment B,High
0.67,Treatment B,Medium
1.31,Treatment A,Medium
0.72,Control,Medium
2.3,Treatment A,High
0.58,Treatment A,High
1.57,Control,Medium
1.16,Treatment A,High
2.2,Treatment A,High
0.82,Treatment A,Medium
1.17,Control,Low
1.17,Control,Low
0.99,Treatment A,High
0.5,Control,Low
1.37,Treatment A,Medium
0.68,Control,Medium
1.7,Treatment A,Low
0.64,Treatment B,Medium
1.13,Treatment B,High
1.4,Treatment A,High
2.31,Treatment B,Medium
0.69,Treatment B,Low
0.78,Treatment A,High
2.08,Control,Medium
0.54,Treatment A,Medium
2.32,Control,High
1.65,Treatment B,Medium
1.03,Treatment A,Low
2.18,Treatment B,Low
2.04,Control,High
1.19,Control,Medium
2.1,Control,High
0.91,Control,High
1.72,Treatment A,High
1.55,Control,High
2.12,Treatment A,Low
1.13,Treatment A,High
1.3,Control,Low
2.04,Control,Medium
1.53,Treatment A,High
1.87,Control,Medium
1.78,Treatment A,Low
1.83,Control,Medium
2.28,Treatment A,Medium
1.47,Control,Medium
1.84,Treatment B,High
1.25,Treatment A,Medium
0.56,Treatment B,Low
2.01,Control,Medium
0.86,Treatment A,Low
